04-20-2025 16:12:03 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@1358,1%@729,1%@729,1%@729,2%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.531C soc2@53.5C soc0@52.156C gpu@54.406C tj@54.531C soc1@54.218C VDD_IN 5405mW/5417mW VDD_CPU_GPU_CV 608mW/630mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:04 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@729,3%@729,3%@729,3%@729,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.562C soc2@53.437C soc0@52.25C gpu@54.5C tj@54.562C soc1@54.062C VDD_IN 5445mW/5419mW VDD_CPU_GPU_CV 649mW/631mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:05 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [2%@1431,1%@729,2%@729,2%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.718C soc2@53.312C soc0@52.281C gpu@54.468C tj@54.718C soc1@54.093C VDD_IN 5405mW/5418mW VDD_CPU_GPU_CV 608mW/629mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:06 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [2%@729,1%@729,1%@729,2%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.593C soc2@53.375C soc0@52.125C gpu@54.093C tj@54.593C soc1@54.218C VDD_IN 5405mW/5417mW VDD_CPU_GPU_CV 608mW/628mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:07 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [3%@1413,1%@729,2%@729,1%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.718C soc2@53.468C soc0@52.156C gpu@54.093C tj@54.718C soc1@54.125C VDD_IN 5405mW/5416mW VDD_CPU_GPU_CV 608mW/627mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:08 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@1397,2%@729,2%@729,1%@729,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 5%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.718C soc2@53.312C soc0@52.281C gpu@54.125C tj@54.718C soc1@54.156C VDD_IN 5405mW/5416mW VDD_CPU_GPU_CV 649mW/628mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:09 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [2%@1375,1%@729,2%@729,1%@729,3%@729,2%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.531C soc2@53.531C soc0@52.281C gpu@54.125C tj@54.531C soc1@54.312C VDD_IN 5405mW/5415mW VDD_CPU_GPU_CV 608mW/627mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:10 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [0%@1398,1%@729,2%@729,1%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.437C soc2@53.406C soc0@52.125C gpu@54.062C tj@54.437C soc1@54.093C VDD_IN 5405mW/5415mW VDD_CPU_GPU_CV 649mW/628mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:11 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@1406,0%@729,4%@729,2%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 9%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.875C soc2@53.312C soc0@52.218C gpu@54C tj@54.875C soc1@54.093C VDD_IN 5445mW/5416mW VDD_CPU_GPU_CV 649mW/629mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:12 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@729,2%@729,1%@729,1%@729,2%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.406C soc2@53.468C soc0@52.187C gpu@54.093C tj@54.593C soc1@54.281C VDD_IN 5405mW/5415mW VDD_CPU_GPU_CV 608mW/628mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:13 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [3%@1357,2%@729,2%@729,2%@729,1%@729,3%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.343C soc2@53.468C soc0@52.187C gpu@54C tj@54.343C soc1@54.218C VDD_IN 5405mW/5415mW VDD_CPU_GPU_CV 649mW/629mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:14 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [4%@1402,2%@729,1%@729,1%@729,2%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.718C soc2@53.375C soc0@52.281C gpu@54.031C tj@54.718C soc1@54.093C VDD_IN 5445mW/5416mW VDD_CPU_GPU_CV 649mW/630mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:15 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [0%@1404,3%@729,1%@729,2%@729,2%@729,2%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.562C soc2@53.531C soc0@52.156C gpu@54.062C tj@54.562C soc1@54.281C VDD_IN 5405mW/5416mW VDD_CPU_GPU_CV 649mW/630mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:16 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [3%@729,4%@729,1%@729,2%@729,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.468C soc2@53.437C soc0@52.187C gpu@54.062C tj@54.468C soc1@54.093C VDD_IN 5405mW/5415mW VDD_CPU_GPU_CV 649mW/631mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:17 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@729,4%@729,4%@729,1%@729,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.593C soc2@53.437C soc0@52.25C gpu@54.218C tj@54.593C soc1@54.156C VDD_IN 5445mW/5416mW VDD_CPU_GPU_CV 649mW/632mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:18 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [4%@1510,2%@1510,0%@1510,1%@1510,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.5C soc2@53.406C soc0@52.156C gpu@54.125C tj@54.5C soc1@54.281C VDD_IN 5405mW/5416mW VDD_CPU_GPU_CV 608mW/631mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:19 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [2%@1510,1%@1510,1%@1510,1%@1510,2%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.656C soc2@53.406C soc0@52.343C gpu@54.281C tj@54.656C soc1@54.093C VDD_IN 5405mW/5416mW VDD_CPU_GPU_CV 608mW/630mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:20 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@1510,2%@1510,1%@1510,2%@1510,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.75C soc2@53.375C soc0@52.218C gpu@54.156C tj@54.75C soc1@54.093C VDD_IN 5405mW/5415mW VDD_CPU_GPU_CV 608mW/629mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:21 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [3%@1510,0%@1510,0%@1510,1%@1510,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.406C soc2@53.437C soc0@52.156C gpu@54.062C tj@54.406C soc1@54.187C VDD_IN 5405mW/5415mW VDD_CPU_GPU_CV 608mW/629mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:22 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@1352,1%@729,2%@729,1%@729,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.843C soc2@53.437C soc0@52.156C gpu@53.937C tj@54.843C soc1@54.125C VDD_IN 5405mW/5415mW VDD_CPU_GPU_CV 608mW/628mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:23 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [2%@729,1%@729,1%@729,0%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.625C soc2@53.5C soc0@52.218C gpu@54.062C tj@54.625C soc1@54.343C VDD_IN 5405mW/5414mW VDD_CPU_GPU_CV 608mW/627mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:24 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [2%@1413,2%@729,1%@729,1%@729,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.562C soc2@53.5C soc0@52.125C gpu@54.062C tj@54.562C soc1@54.218C VDD_IN 5405mW/5414mW VDD_CPU_GPU_CV 608mW/627mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:25 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [2%@907,2%@729,1%@729,1%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.656C soc2@53.343C soc0@52.312C gpu@54C tj@54.437C soc1@54.125C VDD_IN 5405mW/5414mW VDD_CPU_GPU_CV 608mW/626mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:26 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@1389,1%@729,0%@729,1%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.562C soc2@53.343C soc0@52.281C gpu@54.406C tj@54.562C soc1@54.062C VDD_IN 5405mW/5413mW VDD_CPU_GPU_CV 608mW/626mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:27 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [2%@729,1%@729,2%@729,2%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 24%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.375C soc2@53.437C soc0@52.156C gpu@54.406C tj@54.406C soc1@54.25C VDD_IN 5405mW/5413mW VDD_CPU_GPU_CV 608mW/625mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:28 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [2%@1508,3%@729,1%@729,2%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.625C soc2@53.312C soc0@52.25C gpu@54.312C tj@54.625C soc1@54.125C VDD_IN 5405mW/5413mW VDD_CPU_GPU_CV 608mW/625mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:29 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [2%@1389,0%@729,1%@729,2%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.656C soc2@53.343C soc0@52.218C gpu@54.375C tj@54.656C soc1@54.093C VDD_IN 5405mW/5413mW VDD_CPU_GPU_CV 608mW/624mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:30 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [2%@1414,1%@729,1%@729,0%@729,2%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.593C soc2@53.406C soc0@52.187C gpu@54.312C tj@54.593C soc1@54.281C VDD_IN 5405mW/5413mW VDD_CPU_GPU_CV 608mW/624mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:31 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@1394,3%@729,0%@729,1%@729,1%@729,2%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.687C soc2@53.375C soc0@52.156C gpu@54.281C tj@54.687C soc1@54.156C VDD_IN 5405mW/5412mW VDD_CPU_GPU_CV 608mW/623mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:32 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [1%@729,1%@729,4%@729,1%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.5C soc2@53.375C soc0@52.218C gpu@54.093C tj@54.5C soc1@54.062C VDD_IN 5405mW/5412mW VDD_CPU_GPU_CV 608mW/623mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:33 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [2%@1391,1%@729,2%@729,1%@729,1%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.468C soc2@53.375C soc0@52.187C gpu@54.062C tj@54.468C soc1@54.281C VDD_IN 5405mW/5412mW VDD_CPU_GPU_CV 608mW/623mW VDD_SOC 1544mW/1544mW
04-20-2025 16:12:34 RAM 2674/7621MB (lfb 27x4MB) SWAP 0/7998MB (cached 0MB) CPU [0%@1395,2%@729,2%@729,1%@729,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@54.437C soc2@53.281C soc0@52.093C gpu@54.062C tj@54.437C soc1@54.156C VDD_IN 5405mW/5412mW VDD_CPU_GPU_CV 608mW/622mW VDD_SOC 1544mW/1544mW
